trial,imv,exp_error,prev_exp_error,previous_uncertainty_y,current_uncertainty,endpoint_theta,fb_int
108,12.064286845445665,28.01859346689192,22.978942124343643,unlimited_uncertainty,low_uncertainty,11.828845947213253,-0.313425736640653
109,11.441243124009361,24.735665203798106,28.01859346689192,low_uncertainty,low_uncertainty,14.609456665349,2.7313926633924552
110,4.998157320680207,14.488741407944744,24.735665203798106,low_uncertainty,low_uncertainty,6.419774122342332,1.357227736571673
111,19.45334019897163,30.583671793693874,14.488741407944744,low_uncertainty,high_uncertainty,17.54092480557678,-2.0206918639674
112,15.80735117642034,30.5132293012842,30.583671793693874,high_uncertainty,low_uncertainty,13.37302458473279,-2.503427085757849
113,7.4751595942496465,22.783557237125443,30.5132293012842,low_uncertainty,high_uncertainty,9.347951393858636,1.7239863763852554
114,8.544566594455674,21.964202834331722,22.783557237125443,high_uncertainty,low_uncertainty,11.855465982158975,2.9617767034496865
115,6.19700629978847,24.023815522178033,21.964202834331722,low_uncertainty,low_uncertainty,9.454541693778765,2.895422586432346
116,8.18159202524123,16.443582846893293,24.023815522178033,low_uncertainty,low_uncertainty,11.852389941715217,3.2755752834769396
117,11.499766974196646,24.736197915353607,16.443582846893293,low_uncertainty,high_uncertainty,11.867441575559027,0.29891267837194846
118,7.986799321535287,16.044786157707478,24.736197915353607,high_uncertainty,unlimited_uncertainty,9.82743116839994,1.5362851908319328
119,8.813421734559043,13.744766831502988,16.044786157707478,unlimited_uncertainty,high_uncertainty,11.447258886413195,2.219660854796416
120,6.4973562531694,19.019182033266755,13.744766831502988,high_uncertainty,high_uncertainty,8.20004988050816,1.5581700075466216
121,9.059507996960747,16.92499952957096,19.019182033266755,high_uncertainty,unlimited_uncertainty,12.044130408251235,2.725593370095595
122,10.832877848718653,20.658992238377145,16.92499952957096,unlimited_uncertainty,high_uncertainty,13.375729883430182,2.2243372761459455
123,4.458633360553733,15.079080918881179,20.658992238377145,high_uncertainty,no_uncertainty,2.153387265258715,-2.2368547272626955
124,4.356092468501743,22.209049459579553,15.079080918881179,no_uncertainty,no_uncertainty,3.4449736539750546,-0.7365714366723779
125,11.752001717667952,25.687661106084754,22.209049459579553,no_uncertainty,no_uncertainty,11.46647498415544,-0.30282272376348374
126,6.222390325450377,20.65097789173806,25.687661106084754,no_uncertainty,unlimited_uncertainty,8.086324706508222,1.680908091100008
127,7.28743669087811,17.12262434126358,20.65097789173806,unlimited_uncertainty,no_uncertainty,8.239371914100303,0.8794006057098045
128,10.628594560906237,27.891159446116852,17.12262434126358,no_uncertainty,low_uncertainty,8.977615720117825,-1.8029259319026636
129,9.568407144564759,26.459905309043382,27.891159446116852,low_uncertainty,unlimited_uncertainty,8.527107142744029,-1.0051739166535612
130,6.960623242017064,11.732752696302894,26.459905309043382,unlimited_uncertainty,unlimited_uncertainty,7.34180804062153,0.29871689193237216
131,5.9074573869788765,12.33225695125153,11.732752696302894,unlimited_uncertainty,no_uncertainty,6.151078274227615,0.18005219397859662
132,8.671656092600202,18.334879541376033,12.33225695125153,no_uncertainty,high_uncertainty,7.748707728679875,-1.1393262770805421
133,4.976515944725222,15.494336305449167,18.334879541376033,high_uncertainty,no_uncertainty,6.893764606992406,1.7402158106275323
134,8.06248223568437,21.29829233762282,15.494336305449167,no_uncertainty,high_uncertainty,8.920175845192446,0.7101359128050291
135,8.339639047042752,14.37861341129922,21.29829233762282,high_uncertainty,low_uncertainty,7.735722357560405,-0.59008441397404
136,7.8757511493707,11.183267284886071,14.37861341129922,low_uncertainty,no_uncertainty,9.51933741167639,1.4145302278402454
137,2.9331516155198045,7.653675408764592,11.183267284886071,no_uncertainty,unlimited_uncertainty,4.468695061345059,1.4096596289261214
138,6.283082845488224,17.629459008811466,7.653675408764592,unlimited_uncertainty,high_uncertainty,5.916976168339119,-0.28534318398898506
139,4.877188264218347,14.517774163819645,17.629459008811466,high_uncertainty,high_uncertainty,5.27324454243012,0.31541732976937453
140,5.485704105636373,18.573152991166985,14.517774163819645,high_uncertainty,unlimited_uncertainty,5.388477911752645,-0.24769549308935268
141,1.1325960005723061,5.12051096446851,18.573152991166985,unlimited_uncertainty,unlimited_uncertainty,1.2515596710293266,-0.10809173351869106
142,12.18389491482813,15.33936407264426,5.12051096446851,unlimited_uncertainty,low_uncertainty,12.182186904260078,-0.08969695250365817
143,5.193386238026918,16.624727897143078,15.33936407264426,low_uncertainty,high_uncertainty,6.921254406934551,1.5103555650771483
144,6.088661107180641,23.922002104335505,16.624727897143078,high_uncertainty,high_uncertainty,7.190847844314945,0.8843892667567275
145,6.004242504285543,23.975684883227792,23.922002104335505,high_uncertainty,unlimited_uncertainty,6.045792362142592,-0.1159188761418477
146,1.2482034116110867,16.63908831166929,23.975684883227792,unlimited_uncertainty,unlimited_uncertainty,2.765138774647255,1.927705648470166
147,2.9914396849391665,10.71852762408041,16.63908831166929,unlimited_uncertainty,low_uncertainty,2.8453026626948343,-0.06373408270951586
148,2.4430896689293604,21.024262533340767,10.71852762408041,low_uncertainty,no_uncertainty,4.240388135695127,1.6621936732728386
149,12.304718914454895,20.20662127237604,21.024262533340767,no_uncertainty,no_uncertainty,12.956413508051298,0.5176665568710774
150,5.04430158506068,20.681988963368518,20.20662127237604,no_uncertainty,unlimited_uncertainty,4.394325218097293,-0.8273093969840204
151,1.7017059101067247,15.555095716800963,20.681988963368518,unlimited_uncertainty,high_uncertainty,1.8318593395447493,0.023016027090775992
152,7.441598134787469,19.798932964408458,15.555095716800963,high_uncertainty,low_uncertainty,7.331754523946685,-0.18953254516696916
153,0.5688933885003706,13.931031540006723,19.798932964408458,low_uncertainty,low_uncertainty,5.547334112007562,4.885868741384456
154,13.518198272682994,23.20281023305651,13.931031540006723,low_uncertainty,no_uncertainty,9.728124816287178,-3.6502922334160246
